rate,source,target,time
5.62761,GBP,MYR,2022-01-31T23:59:35+0000
5.61502,GBP,MYR,2022-01-30T23:59:16+0000
5.65319,GBP,MYR,2022-02-04T23:59:07+0000
5.66089,GBP,MYR,2022-02-01T23:59:52+0000
5.65319,GBP,MYR,2022-02-05T23:59:42+0000
5.67471,GBP,MYR,2022-02-02T23:59:38+0000
5.65591,GBP,MYR,2022-02-06T23:59:11+0000
5.66557,GBP,MYR,2022-02-07T23:59:22+0000
5.68914,GBP,MYR,2022-02-03T23:59:41+0000
5.66322,GBP,MYR,2022-02-09T23:59:49+0000
5.66908,GBP,MYR,2022-02-08T23:59:31+0000
5.66885,GBP,MYR,2022-02-10T23:59:14+0000
5.68557,GBP,MYR,2022-02-11T23:59:50+0000
5.68515,GBP,MYR,2022-02-13T23:59:34+0000
5.68557,GBP,MYR,2022-02-12T23:59:50+0000
5.67058,GBP,MYR,2022-02-14T23:59:26+0000
5.6686,GBP,MYR,2022-02-15T23:59:29+0000
5.68503,GBP,MYR,2022-02-16T23:59:06+0000
5.7017,GBP,MYR,2022-02-17T23:59:05+0000
5.68773,GBP,MYR,2022-02-18T23:59:55+0000
5.68773,GBP,MYR,2022-02-19T23:59:56+0000
5.68203,GBP,MYR,2022-02-21T23:59:07+0000
5.68961,GBP,MYR,2022-02-20T23:59:41+0000
5.61737,GBP,MYR,2022-02-24T23:59:42+0000
5.66947,GBP,MYR,2022-02-23T23:59:51+0000
5.68768,GBP,MYR,2022-02-22T23:59:46+0000
5.63178,GBP,MYR,2022-02-25T23:59:04+0000
5.63178,GBP,MYR,2022-02-26T23:59:01+0000
5.61624,GBP,MYR,2022-02-27T23:59:35+0000
5.63544,GBP,MYR,2022-02-28T23:59:46+0000
5.59011,GBP,MYR,2022-03-01T23:59:18+0000
5.61987,GBP,MYR,2022-03-02T23:59:10+0000
5.5894,GBP,MYR,2022-03-03T23:59:55+0000
5.52875,GBP,MYR,2022-03-04T23:59:06+0000
5.52875,GBP,MYR,2022-03-05T23:59:10+0000
5.51997,GBP,MYR,2022-03-06T23:59:51+0000
5.47796,GBP,MYR,2022-03-07T23:59:27+0000
5.47866,GBP,MYR,2022-03-08T23:59:58+0000
5.52035,GBP,MYR,2022-03-09T23:59:29+0000
5.4873,GBP,MYR,2022-03-10T23:59:01+0000
5.46837,GBP,MYR,2022-03-11T23:59:43+0000
5.46837,GBP,MYR,2022-03-12T23:59:28+0000
5.47382,GBP,MYR,2022-03-13T23:59:54+0000
5.48845,GBP,MYR,2022-03-15T23:59:06+0000
5.47071,GBP,MYR,2022-03-14T23:59:29+0000
5.50895,GBP,MYR,2022-03-16T23:59:14+0000
5.52086,GBP,MYR,2022-03-17T23:59:17+0000
5.52554,GBP,MYR,2022-03-18T23:59:35+0000
5.52554,GBP,MYR,2022-03-19T23:59:23+0000
5.51778,GBP,MYR,2022-03-20T23:59:53+0000
5.53714,GBP,MYR,2022-03-21T23:59:26+0000
5.59255,GBP,MYR,2022-03-22T23:58:59+0000
5.57843,GBP,MYR,2022-03-23T23:59:40+0000
5.57654,GBP,MYR,2022-03-24T23:59:46+0000
5.55049,GBP,MYR,2022-03-25T23:59:59+0000
5.55049,GBP,MYR,2022-03-26T23:59:07+0000
5.54649,GBP,MYR,2022-03-27T23:59:56+0000
5.52362,GBP,MYR,2022-03-28T23:59:51+0000
5.51758,GBP,MYR,2022-03-29T23:59:47+0000
5.52777,GBP,MYR,2022-03-31T23:59:09+0000
5.52324,GBP,MYR,2022-03-30T23:59:17+0000
5.52228,GBP,MYR,2022-04-01T23:59:52+0000
5.51765,GBP,MYR,2022-04-03T23:59:11+0000
5.52228,GBP,MYR,2022-04-02T23:59:28+0000
5.53062,GBP,MYR,2022-04-04T23:59:45+0000
5.50738,GBP,MYR,2022-04-05T23:59:17+0000
5.50858,GBP,MYR,2022-04-06T23:59:08+0000
5.50294,GBP,MYR,2022-04-08T23:59:08+0000
5.51283,GBP,MYR,2022-04-07T23:59:47+0000
5.50294,GBP,MYR,2022-04-09T23:59:44+0000
5.50146,GBP,MYR,2022-04-10T23:59:49+0000
5.50917,GBP,MYR,2022-04-11T23:59:58+0000
5.50342,GBP,MYR,2022-04-12T23:59:56+0000
5.54978,GBP,MYR,2022-04-13T23:59:51+0000
5.52824,GBP,MYR,2022-04-14T23:59:37+0000
5.53156,GBP,MYR,2022-04-15T23:59:58+0000
5.53156,GBP,MYR,2022-04-16T23:59:34+0000
5.53029,GBP,MYR,2022-04-17T23:59:23+0000
5.53489,GBP,MYR,2022-04-18T23:59:19+0000
5.55026,GBP,MYR,2022-04-19T23:59:39+0000
5.59593,GBP,MYR,2022-04-20T23:59:48+0000
5.58881,GBP,MYR,2022-04-21T23:59:38+0000
5.55287,GBP,MYR,2022-04-22T23:59:30+0000
5.55287,GBP,MYR,2022-04-23T23:59:25+0000
5.54876,GBP,MYR,2022-04-24T23:59:43+0000
5.54996,GBP,MYR,2022-04-25T23:59:21+0000
5.48033,GBP,MYR,2022-04-26T23:59:01+0000
5.46766,GBP,MYR,2022-04-27T23:59:20+0000
5.43929,GBP,MYR,2022-04-28T23:59:47+0000
5.47453,GBP,MYR,2022-04-29T23:59:13+0000
5.47453,GBP,MYR,2022-04-30T23:59:53+0000
5.473,GBP,MYR,2022-05-01T23:59:50+0000
5.44122,GBP,MYR,2022-05-02T23:59:39+0000
5.49346,GBP,MYR,2022-05-04T23:59:57+0000
5.44166,GBP,MYR,2022-05-03T23:59:48+0000
5.37769,GBP,MYR,2022-05-05T23:59:33+0000
5.39083,GBP,MYR,2022-05-07T23:59:18+0000
5.39083,GBP,MYR,2022-05-06T23:59:25+0000
5.38624,GBP,MYR,2022-05-08T23:59:45+0000
5.40814,GBP,MYR,2022-05-09T23:59:16+0000
5.3938,GBP,MYR,2022-05-10T23:59:27+0000
5.35399,GBP,MYR,2022-05-11T23:59:39+0000
5.36196,GBP,MYR,2022-05-12T23:59:58+0000
5.39283,GBP,MYR,2022-05-14T23:59:11+0000
5.39283,GBP,MYR,2022-05-13T23:59:24+0000
5.39107,GBP,MYR,2022-05-15T23:59:09+0000
5.42032,GBP,MYR,2022-05-16T23:59:38+0000
5.47489,GBP,MYR,2022-05-17T23:59:26+0000
5.42537,GBP,MYR,2022-05-18T23:59:49+0000
5.48706,GBP,MYR,2022-05-19T23:59:56+0000
5.48296,GBP,MYR,2022-05-20T23:59:38+0000
5.48296,GBP,MYR,2022-05-21T23:59:59+0000
5.5161,GBP,MYR,2022-05-23T23:59:52+0000
5.48866,GBP,MYR,2022-05-22T23:59:57+0000
5.5124,GBP,MYR,2022-05-24T23:59:52+0000
5.53111,GBP,MYR,2022-05-25T23:59:28+0000
5.5298,GBP,MYR,2022-05-27T23:59:52+0000
5.54852,GBP,MYR,2022-05-26T23:59:27+0000
5.5298,GBP,MYR,2022-05-28T23:59:58+0000
5.52871,GBP,MYR,2022-05-29T23:59:34+0000
5.52178,GBP,MYR,2022-05-30T23:59:25+0000
5.52041,GBP,MYR,2022-05-31T23:59:30+0000
5.4713,GBP,MYR,2022-06-01T23:59:20+0000
5.52344,GBP,MYR,2022-06-02T23:59:01+0000
5.48208,GBP,MYR,2022-06-04T23:59:24+0000
5.48208,GBP,MYR,2022-06-03T23:59:16+0000
5.4823,GBP,MYR,2022-06-05T23:59:49+0000
5.497,GBP,MYR,2022-06-06T23:59:40+0000
5.53284,GBP,MYR,2022-06-07T23:59:30+0000
5.50986,GBP,MYR,2022-06-08T23:59:04+0000
5.4215,GBP,MYR,2022-06-11T23:59:59+0000
5.4888,GBP,MYR,2022-06-09T23:59:41+0000
5.4215,GBP,MYR,2022-06-10T23:59:29+0000
5.4039,GBP,MYR,2022-06-12T23:59:06+0000
5.36516,GBP,MYR,2022-06-13T23:59:54+0000
5.31186,GBP,MYR,2022-06-14T23:59:53+0000
5.37255,GBP,MYR,2022-06-15T23:59:05+0000
5.43885,GBP,MYR,2022-06-16T23:59:35+0000
5.37946,GBP,MYR,2022-06-17T23:59:08+0000
5.37946,GBP,MYR,2022-06-18T23:59:10+0000
5.38255,GBP,MYR,2022-06-19T23:59:42+0000
5.39446,GBP,MYR,2022-06-20T23:59:01+0000
5.39613,GBP,MYR,2022-06-22T23:59:47+0000
5.39525,GBP,MYR,2022-06-21T23:59:01+0000
5.40145,GBP,MYR,2022-06-23T23:59:39+0000
5.40368,GBP,MYR,2022-06-24T23:59:46+0000
5.40368,GBP,MYR,2022-06-25T23:59:14+0000
5.40654,GBP,MYR,2022-06-26T23:59:09+0000
5.40195,GBP,MYR,2022-06-27T23:59:46+0000
5.3595,GBP,MYR,2022-06-28T23:59:07+0000
5.33668,GBP,MYR,2022-06-29T23:59:21+0000
5.35974,GBP,MYR,2022-06-30T23:59:56+0000
5.3285,GBP,MYR,2022-07-01T23:59:03+0000
5.3285,GBP,MYR,2022-07-02T23:59:24+0000
5.33335,GBP,MYR,2022-07-03T23:59:51+0000
5.34547,GBP,MYR,2022-07-04T23:59:59+0000
5.28108,GBP,MYR,2022-07-05T23:59:01+0000
5.27511,GBP,MYR,2022-07-06T23:59:53+0000
5.32622,GBP,MYR,2022-07-07T23:59:25+0000
5.32612,GBP,MYR,2022-07-08T23:59:32+0000
5.32612,GBP,MYR,2022-07-09T23:59:40+0000
5.31904,GBP,MYR,2022-07-10T23:59:59+0000
5.26835,GBP,MYR,2022-07-11T23:59:24+0000
5.2696,GBP,MYR,2022-07-12T23:59:41+0000
5.26295,GBP,MYR,2022-07-13T23:59:04+0000
5.26125,GBP,MYR,2022-07-14T23:59:51+0000
5.28052,GBP,MYR,2022-07-15T23:59:11+0000
5.28052,GBP,MYR,2022-07-16T23:59:05+0000
5.28875,GBP,MYR,2022-07-17T23:59:12+0000
5.32044,GBP,MYR,2022-07-18T23:59:47+0000
5.34111,GBP,MYR,2022-07-19T23:59:06+0000
5.32838,GBP,MYR,2022-07-20T23:59:57+0000
5.34639,GBP,MYR,2022-07-21T23:59:57+0000
5.34463,GBP,MYR,2022-07-22T23:59:42+0000
5.34463,GBP,MYR,2022-07-23T23:59:44+0000
5.36825,GBP,MYR,2022-07-25T23:59:44+0000
5.33617,GBP,MYR,2022-07-24T23:59:06+0000
5.36324,GBP,MYR,2022-07-26T23:59:25+0000
5.42265,GBP,MYR,2022-07-27T23:59:05+0000
5.42011,GBP,MYR,2022-07-28T23:59:32+0000
5.41804,GBP,MYR,2022-07-29T23:59:30+0000
5.41515,GBP,MYR,2022-07-31T23:59:58+0000
5.41804,GBP,MYR,2022-07-30T23:59:26+0000
5.45715,GBP,MYR,2022-08-01T23:59:28+0000
5.40827,GBP,MYR,2022-08-02T23:59:38+0000
5.40991,GBP,MYR,2022-08-03T23:59:46+0000
5.42093,GBP,MYR,2022-08-04T23:59:29+0000
5.37795,GBP,MYR,2022-08-05T23:59:23+0000
5.37795,GBP,MYR,2022-08-06T23:59:26+0000
5.37327,GBP,MYR,2022-08-07T23:59:50+0000
5.3783,GBP,MYR,2022-08-09T23:59:40+0000
5.3887,GBP,MYR,2022-08-08T23:59:57+0000
5.44244,GBP,MYR,2022-08-10T23:59:40+0000
5.42046,GBP,MYR,2022-08-11T23:59:29+0000
5.39532,GBP,MYR,2022-08-12T23:59:03+0000
5.39532,GBP,MYR,2022-08-13T23:59:54+0000
5.38954,GBP,MYR,2022-08-14T23:59:15+0000
5.37615,GBP,MYR,2022-08-15T23:59:00+0000
5.4023,GBP,MYR,2022-08-16T23:59:08+0000
5.33815,GBP,MYR,2022-08-18T23:59:33+0000
5.38066,GBP,MYR,2022-08-17T23:59:19+0000
5.2957,GBP,MYR,2022-08-19T23:59:32+0000
5.2957,GBP,MYR,2022-08-20T23:59:32+0000
5.29055,GBP,MYR,2022-08-21T23:59:49+0000
5.27683,GBP,MYR,2022-08-22T23:59:56+0000
5.30967,GBP,MYR,2022-08-23T23:59:05+0000
5.28702,GBP,MYR,2022-08-25T23:59:49+0000
5.29298,GBP,MYR,2022-08-24T23:59:07+0000
5.2444,GBP,MYR,2022-08-26T23:59:08+0000
5.2444,GBP,MYR,2022-08-27T23:59:22+0000
5.22318,GBP,MYR,2022-08-28T23:59:43+0000
5.25402,GBP,MYR,2022-08-29T23:59:47+0000
5.21821,GBP,MYR,2022-08-30T23:59:28+0000
5.19068,GBP,MYR,2022-08-31T23:59:22+0000
5.17466,GBP,MYR,2022-09-01T23:59:43+0000
5.16198,GBP,MYR,2022-09-02T23:59:55+0000
5.16198,GBP,MYR,2022-09-03T23:59:19+0000
5.14494,GBP,MYR,2022-09-04T23:59:09+0000
5.1906,GBP,MYR,2022-09-05T23:59:56+0000
5.17995,GBP,MYR,2022-09-06T23:59:24+0000
5.1855,GBP,MYR,2022-09-07T23:59:12+0000
5.18515,GBP,MYR,2022-09-08T23:59:59+0000
5.21341,GBP,MYR,2022-09-09T23:59:34+0000
5.21341,GBP,MYR,2022-09-10T23:59:04+0000
5.22668,GBP,MYR,2022-09-11T23:59:43+0000
5.26414,GBP,MYR,2022-09-12T23:59:29+0000
5.1869,GBP,MYR,2022-09-13T23:59:43+0000
5.22597,GBP,MYR,2022-09-14T23:59:23+0000
5.19348,GBP,MYR,2022-09-15T23:59:33+0000
5.17897,GBP,MYR,2022-09-16T23:59:24+0000
5.18577,GBP,MYR,2022-09-18T23:59:34+0000
5.17897,GBP,MYR,2022-09-17T23:59:49+0000
5.20725,GBP,MYR,2022-09-19T23:59:53+0000
5.18746,GBP,MYR,2022-09-20T23:59:53+0000
5.12475,GBP,MYR,2022-09-21T23:59:51+0000
5.14358,GBP,MYR,2022-09-22T23:59:57+0000
4.9663,GBP,MYR,2022-09-23T23:59:34+0000
4.9663,GBP,MYR,2022-09-24T23:59:01+0000
4.94928,GBP,MYR,2022-09-25T23:59:10+0000
4.95628,GBP,MYR,2022-09-26T23:59:32+0000
4.94595,GBP,MYR,2022-09-27T23:59:20+0000
5.01606,GBP,MYR,2022-09-28T23:59:28+0000
5.17506,GBP,MYR,2022-09-29T23:59:26+0000
5.17814,GBP,MYR,2022-09-30T23:59:03+0000
5.17814,GBP,MYR,2022-10-01T23:59:34+0000
5.16446,GBP,MYR,2022-10-02T23:59:58+0000
5.26897,GBP,MYR,2022-10-03T23:59:23+0000
5.31373,GBP,MYR,2022-10-04T23:59:42+0000
5.2584,GBP,MYR,2022-10-05T23:59:50+0000
5.17545,GBP,MYR,2022-10-06T23:59:27+0000
5.15848,GBP,MYR,2022-10-08T23:59:20+0000
5.15848,GBP,MYR,2022-10-07T23:59:05+0000
5.14871,GBP,MYR,2022-10-09T23:59:18+0000
5.15011,GBP,MYR,2022-10-10T23:59:26+0000
5.12394,GBP,MYR,2022-10-11T23:59:43+0000
5.19992,GBP,MYR,2022-10-12T23:59:19+0000
5.3028,GBP,MYR,2022-10-13T23:59:35+0000
5.25613,GBP,MYR,2022-10-14T23:59:13+0000
5.25613,GBP,MYR,2022-10-15T23:59:51+0000
5.28646,GBP,MYR,2022-10-16T23:59:32+0000
5.35464,GBP,MYR,2022-10-17T23:59:11+0000
5.35106,GBP,MYR,2022-10-18T23:59:08+0000
5.30617,GBP,MYR,2022-10-20T23:59:58+0000
5.29112,GBP,MYR,2022-10-19T23:59:44+0000
5.35465,GBP,MYR,2022-10-21T23:59:48+0000
5.37597,GBP,MYR,2022-10-23T23:59:31+0000
5.35465,GBP,MYR,2022-10-22T23:59:17+0000
5.35773,GBP,MYR,2022-10-24T23:59:06+0000
5.42712,GBP,MYR,2022-10-25T23:59:59+0000
5.48592,GBP,MYR,2022-10-26T23:59:35+0000
5.45243,GBP,MYR,2022-10-27T23:59:57+0000
5.48495,GBP,MYR,2022-10-28T23:59:17+0000
5.48495,GBP,MYR,2022-10-29T23:59:46+0000
5.47574,GBP,MYR,2022-10-30T23:59:58+0000
5.44258,GBP,MYR,2022-11-01T23:59:42+0000
5.42494,GBP,MYR,2022-10-31T23:59:21+0000
5.39398,GBP,MYR,2022-11-02T23:59:06+0000
5.30028,GBP,MYR,2022-11-03T23:59:18+0000
5.40061,GBP,MYR,2022-11-04T23:59:11+0000
5.40061,GBP,MYR,2022-11-05T23:59:46+0000
5.37996,GBP,MYR,2022-11-06T23:59:10+0000
5.45825,GBP,MYR,2022-11-07T23:59:58+0000
5.47208,GBP,MYR,2022-11-08T23:59:55+0000
5.3333,GBP,MYR,2022-11-09T23:59:17+0000
5.49935,GBP,MYR,2022-11-10T23:59:13+0000
5.48012,GBP,MYR,2022-11-11T23:59:49+0000
5.48012,GBP,MYR,2022-11-12T23:59:05+0000
5.45999,GBP,MYR,2022-11-13T23:59:16+0000
5.39282,GBP,MYR,2022-11-15T23:59:52+0000
5.40151,GBP,MYR,2022-11-14T23:59:33+0000
5.40045,GBP,MYR,2022-11-17T23:59:16+0000
5.41514,GBP,MYR,2022-11-16T23:59:47+0000
5.41229,GBP,MYR,2022-11-18T23:59:07+0000
5.41229,GBP,MYR,2022-11-19T23:59:24+0000
5.41138,GBP,MYR,2022-11-20T23:59:22+0000
5.41631,GBP,MYR,2022-11-21T23:59:09+0000
5.43556,GBP,MYR,2022-11-22T23:59:32+0000
5.52477,GBP,MYR,2022-11-23T23:59:53+0000
5.41946,GBP,MYR,2022-11-25T23:59:17+0000
5.44457,GBP,MYR,2022-11-24T23:59:50+0000
5.41946,GBP,MYR,2022-11-26T23:59:32+0000
5.40019,GBP,MYR,2022-11-27T23:59:36+0000
5.35853,GBP,MYR,2022-11-28T23:59:00+0000
5.3845,GBP,MYR,2022-11-29T23:59:48+0000
5.37036,GBP,MYR,2022-11-30T23:59:32+0000
5.39987,GBP,MYR,2022-12-01T23:59:52+0000
5.39461,GBP,MYR,2022-12-02T23:59:09+0000
5.39461,GBP,MYR,2022-12-03T23:59:41+0000
5.32712,GBP,MYR,2022-12-05T23:59:31+0000
5.39505,GBP,MYR,2022-12-04T23:59:03+0000
5.33328,GBP,MYR,2022-12-06T23:59:57+0000
5.37023,GBP,MYR,2022-12-07T23:59:11+0000
5.38012,GBP,MYR,2022-12-08T23:59:31+0000
5.40449,GBP,MYR,2022-12-09T23:59:52+0000
5.40449,GBP,MYR,2022-12-10T23:59:14+0000
5.38974,GBP,MYR,2022-12-11T23:59:20+0000
5.41944,GBP,MYR,2022-12-12T23:59:05+0000
5.47203,GBP,MYR,2022-12-13T23:59:17+0000
5.4538,GBP,MYR,2022-12-14T23:59:37+0000
5.37201,GBP,MYR,2022-12-16T23:59:18+0000
5.38515,GBP,MYR,2022-12-15T23:59:58+0000
5.37201,GBP,MYR,2022-12-17T23:59:39+0000
5.38019,GBP,MYR,2022-12-18T23:59:54+0000
5.37875,GBP,MYR,2022-12-19T23:59:57+0000
5.40355,GBP,MYR,2022-12-20T23:59:12+0000
5.35895,GBP,MYR,2022-12-21T23:59:06+0000
5.32726,GBP,MYR,2022-12-22T23:59:41+0000
5.33257,GBP,MYR,2022-12-23T23:59:34+0000
5.33257,GBP,MYR,2022-12-24T23:59:53+0000
5.33921,GBP,MYR,2022-12-25T23:59:12+0000
5.34651,GBP,MYR,2022-12-26T23:59:32+0000
5.31954,GBP,MYR,2022-12-27T23:59:58+0000
5.31983,GBP,MYR,2022-12-28T23:59:48+0000
5.33253,GBP,MYR,2022-12-29T23:59:48+0000
5.32961,GBP,MYR,2022-12-30T23:59:43+0000
5.32741,GBP,MYR,2023-01-01T23:59:16+0000
5.32961,GBP,MYR,2022-12-31T23:59:39+0000
5.31397,GBP,MYR,2023-01-02T23:59:01+0000
5.27354,GBP,MYR,2023-01-03T23:59:49+0000
5.3059,GBP,MYR,2023-01-04T23:59:57+0000
5.22567,GBP,MYR,2023-01-05T23:59:50+0000
5.32515,GBP,MYR,2023-01-06T23:59:30+0000
5.32515,GBP,MYR,2023-01-07T23:59:51+0000
5.33242,GBP,MYR,2023-01-09T23:59:04+0000
5.33704,GBP,MYR,2023-01-08T23:59:54+0000
5.3147,GBP,MYR,2023-01-11T23:59:45+0000
5.31464,GBP,MYR,2023-01-10T23:59:40+0000
5.30531,GBP,MYR,2023-01-13T23:59:33+0000
5.32539,GBP,MYR,2023-01-12T23:59:24+0000
5.30531,GBP,MYR,2023-01-14T23:59:23+0000
5.30098,GBP,MYR,2023-01-15T23:58:59+0000
5.26897,GBP,MYR,2023-01-16T23:59:19+0000
5.31467,GBP,MYR,2023-01-17T23:59:49+0000
5.32631,GBP,MYR,2023-01-18T23:59:20+0000
5.33912,GBP,MYR,2023-01-19T23:59:22+0000
5.31359,GBP,MYR,2023-01-20T23:59:24+0000
5.31359,GBP,MYR,2023-01-21T23:59:34+0000
5.31638,GBP,MYR,2023-01-22T23:59:17+0000
5.30545,GBP,MYR,2023-01-23T23:59:04+0000
5.28359,GBP,MYR,2023-01-24T23:59:15+0000
5.27058,GBP,MYR,2023-01-26T23:59:44+0000
5.28916,GBP,MYR,2023-01-25T23:59:17+0000
5.26148,GBP,MYR,2023-01-27T23:59:49+0000
5.26148,GBP,MYR,2023-01-28T23:59:45+0000
5.26339,GBP,MYR,2023-01-29T23:59:36+0000
5.24092,GBP,MYR,2023-01-30T23:59:20+0000
5.25071,GBP,MYR,2023-01-31T23:59:18+0000
5.268,GBP,MYR,2023-02-01T23:59:38+0000
5.18967,GBP,MYR,2023-02-02T23:59:02+0000
